1000 Maniacs 	 Our Time in Eden 	 Candy Everybody Wants 
1000 Maniacs 	 Our Time in Eden 	 Circle Dream 
1000 Maniacs 	 Our Time in Eden 	 Eden 
1000 Maniacs 	 Our Time in Eden 	 Few And Far Between 
1000 Maniacs 	 Our Time in Eden 	 Gold Rush Brides 
1000 Maniacs 	 Our Time in Eden 	 How You've Grown 
1000 Maniacs 	 Our Time in Eden 	 If You Intend 
1000 Maniacs 	 Our Time in Eden 	 I'm Not The Man 
1000 Maniacs 	 Our Time in Eden 	 Jezebel 
1000 Maniacs 	 Our Time in Eden 	 Noah's Dove 
1000 Maniacs 	 Our Time in Eden 	 Stockton Gala Days 
1000 Maniacs 	 Our Time in Eden 	 These Are Days 
1000 Maniacs 	 Our Time in Eden 	 Tolerance 
10cc 	 The Best Of The Early Years 	 Rubber Bullets 
10cc 	 The Best Of The Early Years 	 The Wall Street Shuffle 
10cc 	 The Best Of The Early Years 	 Waterfall 
10cc 	 The Best Of The Early Years 	 Headline Hustler 
10cc 	 The Best Of The Early Years 	 Somewhere In Hollywood 
10cc 	 The Best Of The Early Years 	 Donna 
10cc 	 The Best Of The Early Years 	 Ships Don't Disappear In The Night 
10cc 	 The Best Of The Early Years 	 Fresh Air For My Mama 
10cc 	 The Best Of The Early Years 	 Johnny Don't Do It 
10cc 	 The Best Of The Early Years 	 Silly Love 
10cc 	 The Best Of The Early Years 	 Sand In My Face 
10cc 	 The Best Of The Early Years 	 Speed Kills 
10cc 	 The Best Of The Early Years 	 The Hospital Song 
10cc 	 The Best Of The Early Years 	 The Dean And I 
10cc 	 The Best Of The Early Years 	 Old Wild Men 
10cc 	 The Best Of The Early Years 	 The Worst Band In The World 
10cc 	 The Best Of The Early Years 	 Hot Sun Rock 
10cc 	 The Best Of The Early Years 	 Bee In My Bonnet 
10cc 	 The Best Of The Early Years 	 4% Of Something 
10cc 	 The Best Of The Early Years 	 Clockwork Creep 
AC DC 	 If You Want Blood, You've Got It 	 Riff Raff 
AC DC 	 If You Want Blood, You've Got It 	 Hell Ain't a Bad Place To Be 
AC DC 	 If You Want Blood, You've Got It 	 Bad Boy Boogie 
AC DC 	 If You Want Blood, You've Got It 	 The Jack 
AC DC 	 If You Want Blood, You've Got It 	 Problem Child 
AC DC 	 If You Want Blood, You've Got It 	 Whole Lotta Rosie 
